OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,FAC_SPR,FAC_FAL,FAC_SPRFAL,aadtAdjFactor,DYVOL2019,DYVOL2023,DYVOL2028,DYVOL2032,DYVOL2042,DYVOL2050,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,NOTES_SEG,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURREV,OV_SEG,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,FL_SEG,CO_NAME,Shape__Length
1,0006_000.0,0,0.984,1.0276,1.0316,1.0296,286,126.7,99.7,101.7,103.6,107.9,111.9,129,101,103,105,110,114,400,400,400,400,400,400,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,1379.20690867972
2,0006_000.7,0,0.984,1.0276,1.0316,1.0296,198,213.3,216.0,215.8,214.8,214.8,216.2,217,220,219,218,218,220,400,400,400,400,400,400,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,31801.7430939931
3,0006_016.0,0,0.984,1.0276,1.0316,1.0296,337,76.6,73.1,70.1,67.1,65.2,62.3,78,74,71,68,66,63,400,400,400,400,400,400,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,62131.8025051329
4,0006_046.0,0,0.984,1.0276,1.0316,1.0296,294,76.6,73.1,70.1,67.1,65.2,62.3,78,74,71,68,66,63,350,350,350,350,350,350,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,29438.4587122702
5,0006_060.2,0,0.984,1.0276,1.0316,1.0296,290,80.4,76.4,73.7,70.7,68.6,65.8,82,78,75,72,70,67,350,350,350,350,350,350,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,36000.9728265648
6,0006_077.5,0,0.984,1.0276,1.0316,1.0296,328,201.9,199.0,197.9,191.5,189.0,189.5,205,202,201,195,192,193,550,550,550,500,500,500,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,11102.7610051912
7,0006_082.9,0,0.984,1.0276,1.0316,1.0296,494,1473.2,1553.2,1531.2,1494.9,1435.0,1454.1,1497,1578,1556,1519,1458,1478,2000,2100,2000,2000,2000,2000,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,2107.63460423064
8,0006_083.9,0,0.9593,0.9859,1.003,0.99445,818,2643.0,2812.6,2773.4,2736.2,2643.7,2633.3,2755,2932,2891,2852,2756,2745,3600,3800,3700,3700,3600,3600,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,4249.33691322942
9,0006_085.9,0,0.9593,0.9859,1.003,0.99445,426,3019.1,3261.9,3218.3,3152.5,3062.3,3038.4,3147,3400,3355,3286,3192,3167,3600,3800,3800,3700,3600,3600,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,3621.80243004756
10,0006_087.7,0,1.0918,1.0107,1.0324,1.02155,248,6599.1,7085.5,6979.9,6858.8,6713.7,6612.0,6044,6490,6393,6282,6149,6056,6300,6700,6600,6500,6400,6300,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,2097.78252350193
11,0006_088.7,0,1.0924,1.0104,1.0243,1.01735,-1031,7999.9,8698.2,8572.6,8496.6,8331.6,8196.1,7323,7962,7847,7778,7627,7503,6300,6900,6800,6700,6600,6500,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,1483.3678444356
12,0006_089.4,0,0.9593,0.9859,1.003,0.99445,2115,1224.6,1313.6,1293.6,1316.3,1318.7,1290.5,1277,1369,1348,1372,1375,1345,3400,3500,3500,3500,3500,3500,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Millard,9271.18666022298
13,0006_093.8,0,0.9593,0.9859,1.003,0.99445,1709,1018.4,1166.0,1339.2,1058.6,1095.8,1161.6,1062,1215,1396,1104,1142,1211,2800,2900,3100,2800,2900,2900,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,12254.8664841561
14,0006_099.7,0,0.984,1.0276,1.0316,1.0296,138,1147.5,1222.1,1435.2,1182.2,1233.5,1329.4,1166,1242,1459,1201,1254,1351,1300,1400,1600,1300,1400,1500,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,9797.56789281809
15,0006_104.4,0,0.984,1.0276,1.0316,1.0296,1233,1100.2,1167.8,1383.6,1131.3,1184.4,1283.5,1118,1187,1406,1150,1204,1304,2400,2400,2600,2400,2400,2500,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,1823.84537891064
16,0006_105.3,0,0.984,1.0276,1.0316,1.0296,453,280.3,386.8,575.0,284.0,324.4,471.1,285,393,584,289,330,479,750,850,1000,750,800,950,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,4660.74819374855
17,0006_107.5,0,0.984,1.0276,1.0316,1.0296,477,257.0,366.1,551.5,261.1,302.0,448.7,261,372,560,265,307,456,750,850,1000,750,800,950,23,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Juab,29250.5651848967
18,0006_121.5,0,0.984,1.0276,1.0316,1.0296,625,265.3,375.0,560.3,270.7,320.2,465.5,270,381,569,275,325,473,900,1000,1200,900,950,1100,23,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Juab,31989.0715966737
19,0006_136.6,0,0.984,1.0276,1.0316,1.0296,596,235.0,215.6,216.5,221.0,244.0,303.3,239,219,220,225,248,308,850,800,800,800,850,900,23,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Juab,3612.70296539152
20,0006_138.4,0,0.984,1.0276,1.0316,1.0296,803,309.1,342.8,399.1,357.6,461.4,384.4,314,348,406,363,469,391,1100,1200,1200,1200,1300,1200,23,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Juab,3056.37987759527
21,0006_139.9,0,0.984,1.0276,1.0316,1.0296,1104,309.1,342.8,399.1,357.6,461.4,384.4,314,348,406,363,469,391,1400,1500,1500,1500,1600,1500,23,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Juab,921.280103515772
22,0006_140.3,0,0.984,1.0276,1.0316,1.0296,456,1314.9,1423.3,1610.2,1692.5,2101.3,2368.9,1336,1446,1636,1720,2135,2407,1800,1900,2100,2200,2600,2900,23,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Juab,1495.4775376747
23,0006_141.0,1,0.984,1.0276,1.0316,1.0296,-33,1525.0,1669.0,1728.0,1866.0,2067.0,2360.0,1550,1696,1756,1896,2101,2398,1500,1700,1700,1900,2100,2400,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,12271.2410149333
24,0006_146.9,1,0.984,1.0276,1.0316,1.0296,-36,1528.0,1677.0,1734.0,1871.0,2071.5,2364.8,1553,1704,1762,1901,2105,2403,1500,1700,1700,1900,2100,2400,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,6373.23599497998
25,0006_149.9,1,0.984,1.0276,1.0316,1.0296,865,1550.9,1687.0,2048.0,2065.0,2572.6,5208.9,1576,1714,2081,2099,2614,5294,2400,2600,2900,3000,3500,6200,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,1421.83301655553
