OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,FAC_SPR,FAC_FAL,FAC_SPRFAL,aadtAdjFac,DYVOL2019,DYVOL2023,DYVOL2028,DYVOL2032,DYVOL2042,DYVOL2050,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURR,OV_SEG,NOTES_SEG,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,FL_SEG,CO_NAME,Shape__Len,Shape__Length
4339,2076_005.7,1,1.0924,1.0104,1.0243,1.01735,10433,14346.7,15031.3,16516.9,16281.6,17150.1,17369.7,13133,13760,15120,14904,15699,15900,23500,24000,25500,25500,26000,26500,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1198.571256,1198.57119071358
4340,2076_006.3,1,1.0924,1.0104,1.0243,1.01735,5721,19493.5,20601.5,23904.4,23004.8,23256.7,23467.2,17845,18859,21882,21059,21290,21482,23500,24500,27500,27000,27000,27000,35,WFRC,WFRC,0,0,0,0,500,500,500,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,319.821974629,319.822068133265
4341,2076_006.4,1,1.0946,1.0117,1.0095,1.0106,5478,19175.6,20141.6,23657.2,22658.0,22956.9,23069.1,17518,18401,21613,20700,20973,21075,23000,24000,27000,26000,26500,26500,35,WFRC,WFRC,0,0,0,0,1000,500,500,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,638.46438215,638.46436365834
4342,2076_006.7,1,1.0946,1.0117,1.0095,1.0106,-7589,33477.8,34903.5,39663.6,39956.3,39820.2,40430.5,30585,31887,36236,36503,36379,36936,23000,24500,28500,29000,29000,29500,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,319.340174721,319.3401656909
4343,2076_006.9,1,1.0946,1.0117,1.0095,1.0106,9295,10035.4,10820.9,11738.0,12305.7,12607.3,16125.2,9168,9886,10724,11242,11518,14732,18500,19000,20000,20500,21000,24000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,318.936644073,318.936766270553
4344,2076_007.0,1,1.0946,1.0117,1.0095,1.0106,11580,7534.6,7762.6,8038.7,8424.1,8907.1,11457.2,6883,7092,7344,7696,8137,10467,18500,18500,19000,19500,19500,22000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,318.920623194,318.920506749561
4345,2076_007.2,1,1.0946,1.0117,1.0095,1.0106,-3705,24264.7,25797.9,23279.0,23415.4,24484.3,29976.1,22168,23568,21267,21392,22368,27385,18500,20000,17500,17500,18500,23500,35,WFRC,WFRC,0,0,0,2500,2500,2500,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,321.729413488,321.729460619865
4346,2076_007.3,1,1.0946,1.0117,1.0095,1.0106,-20027,28345.3,30355.1,27728.3,27826.7,28914.2,29744.7,25896,27732,25332,25422,26415,27174,5900,7700,5300,5400,6400,7100,35,WFRC,WFRC,0,0,0,2500,2500,2000,1500,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,318.073845413,318.073864968159
4347,2076_007.5,1,1.0946,1.0117,1.0095,1.0106,-9721,17064.9,16308.1,15516.6,16289.6,16230.2,19458.1,15590,14899,14176,14882,14828,17776,5900,5200,4500,5200,5100,8100,35,WFRC,WFRC,0,0,700,1400,700,1000,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,319.418227979,319.418137021204
4348,2077_000.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,WFRC,WFRC,0,0,500,500,500,500,500,0,0,0,0,0,0,0,Not in TDM, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,2370.04698384,2370.04691326941
4349,2078_000.0,1,1.0946,1.0117,1.0095,1.0106,2106,49905.5,53313.9,53705.3,52407.6,58411.6,63673.5,45592,48706,49064,47878,53363,58171,47500,51000,51000,50000,55500,60500,35,WFRC,WFRC,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,472.27422101,472.27417427962
4350,2078_000.1,1,1.0946,1.0117,1.0095,1.0106,6114,45517.4,47945.2,48481.3,47018.1,50017.9,51515.2,41584,43802,44291,42955,45695,47063,47500,50000,50500,49000,52000,53000,35,WFRC,WFRC,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,346.040284232,346.04027875324
4351,2078_000.3,1,1.0946,1.0117,1.0095,1.0106,-2478,31734.3,28657.6,27130.3,28742.6,30323.2,31616.8,28992,26181,24786,26259,27703,28884,26500,23500,22500,24000,25000,26500,35,WFRC,WFRC,0,0,0,1000,0,0,500,0,1,0,0,0,0,0,"smoothing, dip in 2023 due to increased lanes in I-15", ,0, ,0,1,0,0,0,0,0,0,Salt Lake,2074.41674556,2074.41679519074
4352,2078_001.3,1,1.0946,1.0117,1.0095,1.0106,8034,18903.1,19682.7,18453.3,19382.9,20682.9,21689.8,17269,17982,16858,17708,18895,19815,25500,26000,25000,25500,27000,28000,35,WFRC,WFRC,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1115.62398062,1115.62400437778
4353,2078_001.8,1,1.0924,1.0104,1.0243,1.01735,445,22075.4,23587.2,22676.6,24301.4,26502.1,27198.9,20208,21592,20759,22246,24260,24898,20500,22000,21000,22500,24500,25500,35,WFRC,WFRC,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,989.141785133,989.141792918187
4354,2078_002.3,1,1.0924,1.0104,1.0243,1.01735,2938,12382.3,12547.2,12964.5,13587.6,14525.5,15487.8,11335,11486,11868,12438,13297,14178,14500,14500,15000,15500,16000,17000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1109.68226018,1109.68223923822
4355,2078_002.8,1,1.0924,1.0104,1.0243,1.01735,330,6459.5,6721.0,6975.4,7280.7,7893.7,8606.4,5913,6153,6385,6665,7226,7878,6200,6500,6700,7000,7600,8200,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1045.62023012,1045.62026005766
4356,2079_000.0,1,1.0946,1.0117,1.0095,1.0106,-7219,8449.7,8614.7,9191.0,9389.8,10440.0,10748.3,7719,7870,8397,8578,9538,9819,500,650,1200,1400,2300,2600,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,1,0,1,0,none, ,0, ,0,0,0,1,0,1,0,0,Salt Lake,1873.13143086,1873.13142385831
4357,2079_000.9,1,1.0946,1.0117,1.0095,1.0106,-7239,8470.9,8439.1,8959.8,9205.5,9826.2,10075.3,7739,7710,8185,8410,8977,9205,500,450,950,1200,1700,2000,35,WFRC,WFRC,0,0,50,0,0,0,0,0,0,0,1,0,1,0,smoothing, ,0, ,0,0,0,1,0,1,0,0,Salt Lake,1885.27362804,1885.27367589377
4358,2080_000.0,1,1.0924,1.0104,1.0243,1.01735,-9878,14406.0,16072.7,12685.7,13559.8,13298.6,14273.4,13187,14713,11613,12413,12174,13066,3300,4800,1700,2500,2300,3200,35,WFRC,WFRC,0,0,0,3300,3000,3200,2500,0,0,0,1,0,0,0,"big smoothing, drop is due to area change nearby", ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1099.47527785,1099.4752315997
4359,2080_000.5,1,1.0924,1.0104,1.0243,1.01735,-8161,12529.7,13370.9,11579.5,11418.4,11137.2,11698.0,11470,12240,10600,10453,10195,10709,3300,4100,2400,2300,2000,2500,35,WFRC,WFRC,0,0,0,2000,2200,2500,2400,0,0,0,1,0,0,0,"big smoothing, drop in 2042 due to area change nearby", ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1057.75487682,1057.75485742242
4360,2080_001.0,1,1.0924,1.0104,1.0243,1.01735,-10424,16707.8,16477.3,16742.2,15485.7,11230.5,11611.7,15295,15084,15326,14176,10281,10630,4900,4700,4900,3800,-143,200,35,WFRC,WFRC,0,0,200,0,1100,5043,5000,0,0,0,1,0,0,0,"big smoothing, drop in 2042 due to area change", ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1066.7024524,1066.70245297199
4361,2080_001.5,1,1.0946,1.0117,1.0095,1.0106,-10684,17026.6,16604.1,17137.7,15691.7,11236.8,11798.2,15555,15169,15657,14336,10266,10779,4900,4500,5000,3700,-418,100,35,WFRC,WFRC,0,0,400,0,1300,5519,5510,0,0,0,1,0,0,0,"big smoothing, drop in 2042 due to area change", ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1066.02970906,1066.02971503893
4362,2080_002.0,1,1.0946,1.0117,1.0095,1.0106,-610,12929.6,17140.0,12600.7,13246.4,13409.2,13749.8,11812,15659,11512,12102,12250,12561,11000,15000,11000,11500,11500,12000,35,WFRC,WFRC,0,0,0,4000,4000,5000,5500,0,0,0,0,0,0,0,"big smoothing, drop in 2042 due to area change", ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1083.64019767,1083.64026812284
4363,2080_002.5,1,1.0946,1.0117,1.0095,1.0106,-2020,13272.2,13661.9,12825.1,13595.6,13435.0,13801.6,12125,12481,11717,12421,12274,12609,10000,10500,9700,10500,10500,10500,35,WFRC,WFRC,0,0,0,800,0,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1056.24742401,1056.24735844292
4364,2080_003.0,1,1.0946,1.0117,1.0095,1.0106,-3634,15039.2,15513.8,15166.8,15655.5,15611.7,16189.2,13739,14173,13856,14302,14262,14790,10000,10500,10000,10500,10500,11000,35,WFRC,WFRC,0,0,0,500,0,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1818.53352404,1818.53353481074
4365,2080_003.9,1,1.0946,1.0117,1.0095,1.0106,-1283,18433.8,19199.5,19364.9,20667.7,21612.4,22128.7,16841,17540,17691,18882,19745,20216,15500,16500,16500,17500,18500,19000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,799.061712094,799.061721780255
4366,2080_004.2,1,1.0946,1.0117,1.0095,1.0106,-5275,22803.8,24360.0,24564.9,24959.4,26313.7,20333.3,20833,22255,22442,22802,24040,18576,15500,17000,17000,17500,19000,13500,35,WFRC,WFRC,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,716.721625789,716.721583862955
4367,2080_004.6,1,1.0946,1.0117,1.0095,1.0106,735,10924.1,12994.7,13116.2,13008.4,13643.8,14160.4,9980,11872,11983,11884,12465,12937,10500,12500,12500,12500,13000,13500,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,2333.79426756,2333.79437345677
4368,2080_005.7,1,1.0946,1.0117,1.0095,1.0106,3132,8852.1,9333.9,9660.6,9475.0,9895.8,10120.6,8087,8527,8826,8656,9041,9246,11000,11500,12000,12000,12000,12500,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,2493.49944006,2493.49937279526
4369,2080_006.9,1,1.0924,1.0104,1.0243,1.01735,4831,11001.0,10880.9,10934.2,11019.3,11037.7,11146.3,10070,9961,10009,10087,10104,10203,15000,15000,15000,15000,15000,15000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1645.37873851,1645.37880402921
4370,2080_007.6,1,1.0924,1.0104,1.0243,1.01735,10268,5061.4,5058.8,5068.4,5125.2,5122.4,5286.2,4633,4631,4640,4692,4689,4839,15000,15000,15000,15000,15000,15000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1860.17351292,1860.17345400914
4371,2080_008.6,1,1.0924,1.0104,1.0243,1.01735,-4545,6163.7,6060.2,6073.5,6081.6,6160.2,6387.0,5642,5548,5560,5567,5639,5847,1100,1000,1000,1000,1100,1300,35,WFRC,WFRC,0,0,100,100,200,200,100,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1536.86672293,1536.86656577675
4372,2080_009.3,1,1.0924,1.0104,1.0243,1.01735,-5705,7430.7,7243.7,7247.7,7207.6,7214.9,7378.2,6802,6631,6635,6598,6605,6754,1100,950,950,900,900,1000,35,WFRC,WFRC,0,0,200,250,300,300,200,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,885.342769316,885.34287370371
4373,2081_000.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,WFRC,WFRC,0,0,500,500,500,500,500,0,0,0,0,0,0,0,Not in TDM, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1067.73006069,1067.72998079776
4374,2082_000.0,1,1.0924,1.0104,1.0243,1.01735,-19439,25040.4,31877.6,39011.5,43271.0,34579.2,27339.2,22922,29181,35712,39611,31654,25027,3500,9700,16500,20000,12000,5600,35,WFRC,WFRC,0,0,0,-500,0,0,3500,0,1,0,1,0,0,0,"smoothing, jump in 2023 due to bridge over jordan river, jump in 2032 due to adj segment coming online, dips in 2042/50 due to new I-15 connections", ,0, ,0,1,0,1,0,0,0,0,Salt Lake,325.603960929,325.603942388684
4375,2082_000.1,1,1.0924,1.0104,1.0243,1.01735,-11019,15841.5,16918.0,21489.2,22843.7,19083.8,22296.9,14502,15487,19672,20911,17470,20411,3500,4500,8700,9900,6500,9400,35,WFRC,WFRC,0,0,0,-200,0,500,0,0,1,0,1,0,0,0,"smoothing, dip in 2042 due to 13800 connection through I-15", ,0, ,0,1,0,1,0,0,0,0,Salt Lake,1512.7575469,1512.75759338271
4376,2082_000.8,1,1.0924,1.0104,1.0243,1.01735,-4067,10078.9,10870.3,13987.7,15746.0,13231.5,16905.7,9226,9951,12805,14414,12112,15476,5200,5900,8700,10500,8000,11500,35,WFRC,WFRC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"none, dip in 2042 due to 13800 connection through I-15", ,0, ,0,1,0,0,0,0,0,0,Salt Lake,1330.75119275,1330.75114721819
4377,2082_001.5,1,1.0924,1.0104,1.0243,1.01735,-2367,8221.5,9305.2,11744.4,12888.3,10162.5,13512.2,7526,8518,10751,11798,9303,12369,5200,6200,8400,9400,6900,10000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"none, dip in 2042 due to 13800 connection through I-15", ,0, ,0,1,0,0,0,0,0,0,Salt Lake,2610.59517417,2610.5951984268
4378,2082_002.7,1,1.0924,1.0104,1.0243,1.01735,-9756,16293.0,17062.9,19539.0,20574.3,17773.3,20211.7,14915,15620,17886,18834,16270,18502,5200,5900,8100,9100,6500,8700,35,WFRC,WFRC,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"none, dip in 2042 due to 13800 connection through I-15", ,0, ,0,1,0,1,0,0,0,0,Salt Lake,513.104200096,513.10423524253
4379,2082_002.9,1,1.0924,1.0104,1.0243,1.01735,2654,2501.6,2525.9,2817.5,3083.1,3335.1,4001.8,2290,2312,2579,2822,3053,3663,4900,5000,5200,5500,5700,6300,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,4385.42168204,4385.4216502398
4380,2082_005.0,1,1.0918,1.0107,1.0324,1.02155,9697,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,9700,9700,9700,9700,9700,9700,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1217.10638048,1217.10632548536
4381,2082_008.5,1,1.0924,1.0104,1.0243,1.01735,6866,3603.3,3186.1,3330.7,3266.0,3854.6,3938.0,3299,2917,3049,2990,3529,3605,10000,9800,9900,9900,10500,10500,35,WFRC,WFRC,0,0,700,600,600,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1187.81457623,1187.81452141703
4382,2082_009.0,1,1.0924,1.0104,1.0243,1.01735,-6606,33943.1,32704.8,33278.8,33319.4,34438.0,38787.5,31072,29938,30464,30501,31525,35507,24500,23500,24000,24000,25000,29000,35,WFRC,WFRC,0,0,1000,500,500,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1359.76192472,1359.76197019019
4383,2082_009.6,1,1.0924,1.0104,1.0243,1.01735,-30156,43789.2,42962.9,44104.5,44174.3,44241.8,50555.1,40085,39329,40374,40438,40500,46279,9900,9200,10000,10500,10500,16000,35,WFRC,WFRC,0,0,800,500,500,500,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,2054.20460811,2054.20465992635
4384,2082_010.6,1,1.0924,1.0104,1.0243,1.01735,3783,33198.9,32232.7,33070.0,33303.7,33612.2,38717.1,30391,29506,30273,30487,30769,35442,34000,33500,34000,34500,34500,39000,35,WFRC,WFRC,0,0,1000,500,0,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1871.46918329,1871.46905510059
4385,2082_011.5,1,1.0946,1.0117,1.0095,1.0106,-24506,40189.4,39930.8,40871.5,43519.1,44017.8,48540.3,36716,36480,37339,39758,40214,44345,12000,12000,13000,15500,15500,20000,35,WFRC,WFRC,0,0,500,0,0,0,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1296.36722482,1296.3673119041
4386,2082_012.1,1,1.0924,1.0104,1.0243,1.01735,11580,52963.3,53928.9,55318.2,56956.5,58626.4,62367.8,48483,49367,50639,52139,53668,57092,60000,61000,62000,63500,65000,68500,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1307.96642819,1307.96636327072
4387,2083_000.0,1,1.0924,1.0104,1.0243,1.01735,-1411,2634.3,4644.8,4100.6,3695.3,4971.7,3682.3,2411,4252,3754,3383,4551,3371,1000,2800,2300,2000,3100,2000,35,WFRC,WFRC,0,0,1000,1500,2000,1000,2500,0,0,0,1,0,1,0,low observed. use model volumes., ,0, ,0,0,0,1,0,1,0,0,Salt Lake,876.317319416,876.317374337943
4388,2083_000.4,1,1.0924,1.0104,1.0243,1.01735,-2461,3780.3,6150.1,5729.7,6115.5,7805.6,3305.9,3461,5630,5245,5598,7145,3026,1000,3200,2800,3100,4700,550,35,WFRC,WFRC,0,0,2000,2400,2500,1000,5550,0,0,0,1,0,1,0,low observed. use model volumes., ,0, ,0,0,0,1,0,1,0,0,Salt Lake,795.832942319,795.832934091466
4389,2083_000.8,1,1.0946,1.0117,1.0095,1.0106,-1070,2265.6,5771.0,6684.6,6810.9,8200.6,5585.7,2070,5272,6107,6222,7492,5103,1000,4200,5000,5200,6400,4000,35,WFRC,WFRC,0,0,1100,1100,1000,500,3000,0,0,0,1,0,1,0,low observed. use model volumes., ,0, ,0,0,0,1,0,1,0,0,Salt Lake,974.37630873,974.37628129253
4390,2083_001.2,1,1.0946,1.0117,1.0095,1.0106,-1070,2265.6,5771.0,6684.6,6810.9,8200.6,5585.7,2070,5272,6107,6222,7492,5103,1000,4200,5000,5200,6400,4000,35,WFRC,WFRC,0,0,0,0,0,-500,2000,0,0,0,1,0,1,0,low observed. use model volumes., ,0, ,0,0,0,1,0,1,0,0,Salt Lake,689.941428955,689.941469214299
4391,2084_000.0,1,1.0946,1.0117,1.0095,1.0106,186,38274.0,37359.2,39071.7,41515.4,41882.1,43056.4,34966,34130,35695,37927,38262,39335,35000,34500,36000,38000,38500,39500,35,WFRC,WFRC,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,584.564136353,584.564113826251
4392,2084_000.3,1,1.0946,1.0117,1.0095,1.0106,-5571,31444.4,30892.1,32072.3,33205.0,34447.3,36115.0,28727,28222,29300,30335,31470,32994,23000,22500,23500,25000,26000,27500,35,WFRC,WFRC,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,883.507759378,883.507791341346
4393,2084_000.7,1,1.0946,1.0117,1.0095,1.0106,8625,15905.9,17168.7,18076.9,20121.5,21337.9,22122.9,14531,15685,16515,18383,19494,20211,23000,24500,25000,27000,28000,29000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,198.200887685,198.20088592354
4394,2085_000.0,1,1.0924,1.0104,1.0243,1.01735,-437,1569.7,1629.3,1652.8,1498.2,1762.5,2100.4,1437,1491,1513,1371,1613,1923,1000,1100,1100,950,1200,1500,35,WFRC,WFRC,0,0,0,0,250,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,2649.51061019,2649.51062407536
4395,2085_001.2,1,1.0946,1.0117,1.0095,1.0106,-552,1699.3,2014.5,2440.4,2216.3,2195.1,2416.8,1552,1840,2229,2025,2005,2208,1000,1300,1700,1500,1500,1700,35,WFRC,WFRC,0,0,0,0,200,200,100,0,0,0,0,0,0,0,smoothing due to area change, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1613.16086119,1613.1608817394
4396,2085_002.0,1,1.0946,1.0117,1.0095,1.0106,-1526,2765.3,2829.9,3252.4,2905.1,3196.6,3461.9,2526,2585,2971,2654,2920,3163,1000,1100,1400,1100,1400,1600,35,WFRC,WFRC,0,0,0,0,300,0,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,2122.14269158,2122.14271733324
4397,2085_003.0,1,1.0946,1.0117,1.0095,1.0106,-956,2141.5,2324.8,2689.1,2534.6,2739.3,2834.6,1956,2124,2457,2316,2503,2590,1000,1200,1500,1400,1500,1600,35,WFRC,WFRC,0,0,0,0,100,0,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,922.161542808,922.161519680193
4398,2085_003.4,1,1.0924,1.0104,1.0243,1.01735,-1177,2377.7,2555.7,2787.3,2692.8,2994.1,3183.4,2177,2340,2552,2465,2741,2914,1000,1200,1400,1300,1600,1700,35,WFRC,WFRC,0,0,0,0,100,0,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1042.21019666,1042.21018071198
4399,2085_003.9,1,1.0924,1.0104,1.0243,1.01735,-1363,2581.4,2270.3,2555.3,2663.6,2953.5,3186.9,2363,2078,2339,2438,2704,2917,1000,700,1000,1100,1300,1600,35,WFRC,WFRC,0,0,300,0,0,0,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,1229.18092869,1229.18086477116
4400,2085_004.5,1,1.0924,1.0104,1.0243,1.01735,-1785,3042.2,2970.0,3277.0,3404.0,3273.4,3492.2,2785,2719,3000,3116,2997,3197,1000,950,1200,1300,1200,1400,35,WFRC,WFRC,0,0,50,0,0,100,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,2134.77695777,2134.77702314025
4401,2085_005.5,1,1.0924,1.0104,1.0243,1.01735,-2205,3501.3,3453.1,3734.1,3490.1,3259.2,3698.2,3205,3161,3418,3195,2984,3385,1000,950,1200,1000,800,1200,35,WFRC,WFRC,0,0,50,0,200,400,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,2137.89717365,2137.89724638905
4402,2086_000.0,1,1.0946,1.0117,1.0095,1.0106,-5098,7160.0,7085.2,8065.0,7976.0,7678.6,8625.5,6541,6473,7368,7287,7015,7880,1400,1400,2300,2200,1900,2800,35,WFRC,WFRC,0,0,100,0,100,400,0,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,2156.12719758,2156.12721773377
4403,2086_001.0,1,1.0946,1.0117,1.0095,1.0106,4980,11112.6,11250.9,12192.8,12075.3,12163.0,13392.6,10152,10279,11139,11032,11112,12235,15000,15500,16000,16000,16000,17000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1053.40798264,1053.4080461591
4404,2086_001.5,1,1.0946,1.0117,1.0095,1.0106,8481,7279.8,7366.2,8295.8,7629.6,8063.7,8846.0,6651,6730,7579,6970,7367,8081,15000,15000,16000,15500,16000,16500,35,WFRC,WFRC,0,0,500,0,500,0,0,0,0,0,0,0,0,0,smoothing, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1064.23525782,1064.23512356357
4405,2086_002.0,1,1.0924,1.0104,1.0243,1.01735,-3049,6638.5,6821.0,7295.8,7472.9,8842.2,8419.6,6077,6244,6679,6841,8094,7707,3000,3200,3600,3800,5000,4700,35,WFRC,WFRC,0,0,0,0,0,0,300,0,0,0,1,0,0,0,smoothing, ,0, ,0,0,0,1,0,0,0,0,Salt Lake,2637.49059566,2637.49068922717
4406,2087_000.0,1,1.0946,1.0117,1.0095,1.0106,1688,4253.4,4747.3,5167.6,6264.1,7379.4,9058.2,3886,4337,4721,5723,6742,8275,5600,6000,6400,7400,8400,10000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1904.59206489,1904.59204714841
4407,2087_000.9,1,1.0946,1.0117,1.0095,1.0106,4587,4253.0,5176.7,5357.3,6202.9,7060.8,9253.2,3885,4729,4894,5667,6451,8453,8500,9300,9500,10500,11000,13000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1720.29858495,1720.29863062706
4408,2087_001.7,1,1.0946,1.0117,1.0095,1.0106,3283,5680.4,7914.1,9054.0,10457.8,10844.4,15941.7,5189,7230,8272,9554,9907,14564,8500,10500,11500,13000,13000,18000,35,WFRC,WFRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none, ,0, ,0,0,0,0,0,0,0,0,Salt Lake,1328.2940005,1328.29382798469
