SEGID,EDITKEY,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,NOTES,TIMESTAMP,ObjectId
dummy,dummy,0,0,0,0,0,dummy,1692824775675,1
0013_000.0,bill,0,0,-500,0,0,Smoothing,1692804900000,2
0013_000.0,bill,10000,0,-500,0,0,Smoothing,1692805178000,3
0013_000.0,bill,0,0,-500,0,0,Smoothing,1692805225000,5
0013_000.0,bill,0,0,-500,0,0,Smoothing,1692805270000,6
0015_338.5,bill,0,0,0,0,0,None,1692828703779,7
0015_339.1,bill,0,0,-1000,0,0,Smoothing,1692828739562,8
0015_339.1,bill,0,0,-2000,0,0,Smoothing,1692828746305,9
0015_338.5,bill,0,0,-1000,0,0,Smoothing,1692828766650,10
0015_340.3,bill,0,0,-1000,0,0,Smoothing,1692828781689,11
0015_342.0,bill,0,0,-2000,0,0,Smoothing,1692828798119,12
0015_343.1,bill,0,0,-2000,0,0,Smoothing,1692828815145,13
0015_343.9,bill,0,0,-1000,0,0,Smoothing,1692828826781,14
0015_346.7,bill,0,0,-1000,0,0,Smoothing,1692828852466,15
0015_345.0,bill,0,0,-1000,0,0,Smoothing,1692828861486,16
0015_339.1,bill,0,1000,-1000,0,0,Smoothing,1692903838902,17
0015_342.0,suzie,0,1000,-1000,0,0,Smoothing,1692904060718,18
0015_343.1,suzie,0,1000,-1000,0,0,Smoothing,1692904091344,19
0026_000.0,suzie,0,0,0,0,0,"Added capacity on I-15 HOV lane in 2021, widened 5600 S in 2028",1692904675712,20
0026_000.0,suzie,0,0,0,-1000,500,"Added capacity on I-15 HOV lane in 2021, widened 5600 S in 2028",1692904915417,21
0026_000.0,bill,0,0,0,-1000,1000,"Added capacity on I-15 HOV lane in 2021, widened 5600 S in 2028",1692904929476,22
0026_000.2,bill,0,0,0,-1000,500,,1692904955891,23
0026_000.2,bill,0,0,0,-1000,1000,,1692904963890,24
0026_000.2,bill,0,0,0,-1000,1000,Smoothing,1692904967521,25
0026_000.4,bill,0,0,0,0,0,Added capacity on I-15 HOV lane in 2021,1692905023138,26
0026_000.7,bill,0,0,0,0,0,None,1692905048407,27
0026_001.0,bill,0,0,0,0,0,None,1692905079665,28
0026_001.3,bill,0,0,0,0,0,None,1692905105500,29
0026_001.8,bill,0,0,0,0,0,None,1692905117779,30
0026_002.7,bill,0,0,0,0,0,None,1692905124753,31
0026_003.0,bill,0,0,0,0,0,None,1692905150274,32
0026_003.2,bill,0,0,0,0,0,None,1692905164497,33
0026_003.3,bill,500,0,0,0,0,Smoothing,1692905184380,34
0026_003.5,bill,0,500,0,-500,0,Smoothing,1692905210099,35
0037_006.2,bill,0,0,0,0,0,"High growth area, new connectivity and new",1692905353568,36
0037_006.2,bill,0,0,0,0,0,High growth area with new connectivity,1692905429684,37
0037_006.7,bill,0,0,0,0,0,High growth area with new connectivity,1692905501337,38
0037_007.2,suzie,0,0,0,500,0,Smoothing,1692905542801,39
0037_006.7,suzie,0,0,0,500,0,Smoothing,1692905559178,40
0037_006.2,suzie,0,0,-500,0,0,High growth area with new connectivity,1692905575386,41
WFRC_8087,suzie,0,0,0,0,0,BREAK SEGMENT AT 3300 SOUTH,1692905812678,42
3359_000.8,suzie,-1000,-2000,0,0,0,WHY???,1692906123886,43
3359_000.8,suzie,-1500,-3000,0,0,0,WHY???,1692906135762,44
3359_000.8,suzie,-1200,-3000,0,0,0,WHY???,1692906142960,45
0037_009.6,suzie,0,0,0,-4000,0,Smoothing,1692906460872,46
0037_009.6,suzie,0,0,0,-5000,0,Smoothing,1692906466244,47
WFRC_8088,suzie,0,0,700,0,0,Smoothing,1692906494971,48
3363_000.0,suzie,0,0,-3000,0,0,Smoothing,1692906546105,49
3363_000.0,suzie,0,0,-3500,0,0,Smoothing,1692906554726,50
3363_000.0,suzie,0,0,-3400,0,0,Smoothing,1692906560084,51
3363_000.5,suzie,0,0,-2600,0,0,Smoothing,1692906598418,52
3363_000.5,suzie,0,0,-2700,0,0,Smoothing,1692906603728,53
WFRC_8050,bill,11455,0,0,0,0,"Not in RTP phase, only in 2050 Unfunded phase",1692913203858,54
WFRC_8050,bill,0,0,0,0,0,"Not in RTP phase, only in 2050 Unfunded phase",1692913225714,55
WFRC_8209,suzie,0,0,0,0,0,none,1692913277509,56
WFRC_8208,suzie,0,400,-400,0,0,smoothing,1692913491152,57
WFRC_8208,suzie,0,400,-500,0,0,smoothing,1692913498036,58
WFRC_8208,suzie,0,500,-500,0,0,smoothing,1692913518016,59
WFRC_8207,suzie,500,500,-500,0,0,smoothing,1692914483410,60
WFRC_8207,suzie,300,500,-500,0,0,smoothing,1692914505887,61
WFRC_8206,suzie,0,0,-500,0,0,smoothing,1692914568476,62
WFRC_8206,suzie,0,0,-700,0,0,smoothing,1692914575639,63
WFRC_8205,suzie,0,0,0,-500,0,new connection in 2042,1692915178045,64
WFRC_8204,suzie,0,0,0,0,0,unfunded project - not phased,1692915320020,65
WFRC_8203,suzie,0,0,0,0,0,unfunded project - not phased,1692915355662,66
WFRC_8202,suzie,0,0,0,0,0,unfunded project - not phased,1692915364326,67
WFRC_8201,suzie,0,0,0,0,0,unfunded project - not phased,1692915382171,68
WFRC_8086,suzie,0,0,0,0,0,unfunded project - not phased,1692915419887,69
WFRC_8084,suzie,0,0,0,0,0,unfunded project - not phased,1692915772011,70
WFRC_8083,suzie,0,0,0,0,0,unfunded project - not phased,1692915786839,71
WFRC_8082,suzie,0,0,0,0,0,unfunded project - not phased,1692915796537,72
0026_003.0,bill,100,0,0,0,0,Smoothing,1693275995621,73
0026_003.2,bill,100,0,0,0,0,Smoothing,1693276011530,74
0026_003.3,bill,600,0,0,0,0,Smoothing,1693276024574,75
0026_003.5,bill,100,500,0,-500,0,Smoothing,1693276036314,76
0037_009.0,bill,0,0,-2500,0,0,WHY IS 2032 SO HIGH!,1693276125811,77
0037_009.6,bill,1500,0,0,-5000,0,Smoothing,1693276145142,78
0037_009.6,bill,1500,0,0,-5000,0,WHY IS 2042 SO HIGH!!!,1693276564676,79
0037_010.0,bill,0,0,0,0,0,WHY DID 2023 DROP!,1693276648468,80
0037_010.5,bill,0,0,0,0,0,WHY DID 2023 DROP!!,1693276713949,81
0037_011.5,bill,0,200,0,0,0,Smoothing,1693276732396,82
0039_000.0,bill,0,0,0,0,0,West Weber extension in 2050,1693276775177,83
0039_000.5,bill,0,0,0,-500,0,Smoothing,1693276795387,84
0039_002.4,bill,0,-1000,0,0,0,,1693276813433,85
0039_002.4,bill,0,-1000,0,0,0,Smoothing,1693276826114,86
0039_003.5,bill,0,0,500,-500,0,Smoothing,1693276843551,87
0039_003.5,bill,500,0,1000,-1000,0,Smoothing,1693276857078,88
0039_005.1,bill,500,0,0,0,0,Smoothing,1693276875642,89
0039_006.0,bill,0,0,500,0,0,Smoothing,1693276890235,90
0039_006.2,bill,0,0,500,0,0,Smoothing,1693277066041,91
0039_006.2,bill,0,0,1000,0,0,Smoothing,1693277074198,92
0039_006.1,bill,0,0,500,0,0,,1693277081329,93
0039_006.1,bill,0,0,500,0,0,Smoothing,1693277086756,94
0039_006.0,bill,0,0,1000,0,0,Smoothing,1693277093926,95
0039_005.1,bill,500,0,500,0,0,Smoothing,1693277103971,96
0039_006.4,bill,500,500,1000,0,0,,1693277137391,97
0039_006.4,bill,500,500,1000,0,0,Smoothing,1693277141846,98
0039_007.3,bill,0,0,1000,0,0,Smoothing,1693277169964,99
0039_007.3,bill,0,0,1000,0,0,Smoothing,1693277170964,100
0039_007.7,bill,500,500,1000,0,0,Smoothing,1693277192628,101
0039_007.7,bill,200,200,500,0,0,Smoothing,1693277204338,102
0039_007.9,bill,0,100,100,0,0,Smoothing,1693277227270,103
0039_008.7,bill,0,0,0,100,0,Smoothing,1693277252937,104
0053_000.1,bill,0,0,0,0,0,New capacity in 2042,1693277417018,105
0053_000.9,bill,0,0,0,0,0,New capacity in 2042,1693277423541,106
0053_000.1,bill,-500,0,0,0,0,New capacity in 2042,1693277480546,107
0053_000.9,bill,-500,0,0,0,0,New capacity in 2042,1693277495241,108
0053_000.9,bill,-500,500,0,0,0,New capacity in 2042,1693277502762,109
0053_001.5,bill,0,500,500,0,0,Smoothing,1693277522958,110
0053_001.7,bill,500,500,500,0,0,Smoothing,1693277538787,111
0053_001.8,bill,500,500,1000,0,0,Smoothing,1693277556784,112
0053_001.8,bill,200,200,500,0,0,Smoothing,1693277576667,113
0053_001.8,bill,200,0,300,0,0,Smoothing,1693277591808,114
0060_000.0,bill,0,500,0,0,0,Smoothing,1693277610638,115
0079_000.0,bill,0,0,0,0,0,WHY THE DROP IN 2023!,1693277642843,116
0079_000.0,bill,200,0,0,0,0,WHY THE JUMP IN 2032!,1693277669796,117
0079_000.0,bill,200,0,-500,500,0,WHY THE JUMP IN 2032!,1693277678534,118
0079_000.7,bill,0,200,0,0,0,Smoothing,1693277694446,119
0079_001.9,bill,-500,500,0,0,0,Smoothing,1693277715744,120
0079_001.9,bill,-500,500,-500,0,0,Smoothing,1693277733272,121
0079_002.5,bill,0,0,0,0,0,"New capacity on parallel corridor, Midland, in 2042.",1693277756906,122
0079_002.9,bill,500,-500,0,0,0,"New capacity on parallel corridor, Midland, in 2042.",1693277774184,123
0079_002.9,bill,500,-500,-500,0,0,"New capacity on parallel corridor, Midland, in 2042.",1693277783123,124
0079_003.0,bill,0,-500,-500,0,0,Smoothing,1693277806323,125
0079_003.3,bill,0,0,0,1000,0,Smoothing,1693277930083,126
0079_003.4,bill,500,0,0,500,0,Smoothing,1693277946611,127
0079_003.6,bill,500,0,0,500,0,Smoothing,1693277961538,128
0079_003.8,bill,500,500,500,0,0,Additional capacity in 2050,1693278016344,129
0079_003.8,bill,200,200,200,0,0,Additional capacity in 2050,1693278030621,130
0079_003.8,bill,200,200,500,0,0,Additional capacity in 2050,1693278038758,131
0079_003.8,bill,500,500,1000,0,0,Additional capacity in 2050,1693278061176,132
0079_003.8,bill,500,500,500,0,0,Additional capacity in 2050,1693278116615,133
0079_003.8,bill,0,500,500,0,0,Additional capacity in 2050,1693278132011,134
0079_003.8,bill,0,0,500,0,0,Additional capacity in 2050,1693278138280,135
0079_004.3,bill,0,0,-200,0,0,Smoothing,1693278159427,136
0079_003.9,bill,500,0,0,0,0,Smoothing,1693278280082,137
0079_003.9,bill,500,0,0,0,0,Additional capacity in 2050,1693278300163,138
0079_004.9,bill,200,0,-100,200,0,Smoothing,1693278323945,139
0079_005.0,bill,300,0,500,0,0,Smoothing,1693278342575,140
0079_005.0,bill,300,-500,0,0,0,Smoothing,1693278368143,141
0079_005.0,bill,300,-500,0,500,0,Smoothing,1693278375799,142
0079_005.1,bill,200,-500,0,500,0,Smoothing,1693278398281,143
0084_081.0,bill,-1000,0,1000,0,0,Smoothing,1693278427602,144
0084_081.7,bill,-2000,-1000,1000,0,0,Smoothing,1693278466796,145
0089_406.4,bill,-2000,0,0,0,0,New capacity in 2042,1693278534544,146
0089_406.4,bill,-1000,0,0,0,0,New capacity in 2042,1693278543333,147
0089_406.6,bill,-1000,0,0,0,0,Smoothing,1693278561548,148
0089_406.6,bill,-1000,0,0,0,0,New capacity in 2042,1693278571320,149
0089_407.0,bill,-1000,0,500,0,0,,1693278591601,150
0089_407.0,bill,-1000,0,1500,0,0,Smoothing,1693278600158,151
0089_407.0,bill,-1000,0,1500,0,0,New capacity in 2042,1693278612183,152
0089_408.1,bill,-2000,0,2000,0,0,New capacity in 2042,1693278630713,153
0089_408.4,bill,-1000,0,500,0,0,Smoothing,1693278652211,154
0089_409.3,bill,-1000,0,1000,0,0,Smoothing,1693278673792,155
0089_409.6,bill,-1000,0,1000,0,0,Smoothing,1693278690822,156
0089_410.0,bill,-1000,0,1000,0,0,Smoothing,1693278705684,157
0089_410.2,bill,-1000,0,0,0,0,Smoothing,1693278717307,158
0089_410.5,bill,-1000,0,0,0,0,Smoothing,1693278738073,159
