SEGID,AADT1981,AADT1982,AADT1983,AADT1984,AADT1985,AADT1986,AADT1987,AADT1988,AADT1989,AADT1990,AADT1991,AADT1992,AADT1993,AADT1994,AADT1995,AADT1996,AADT1997,AADT1998,AADT1999,AADT2000,AADT2001,AADT2002,AADT2003,AADT2004,AADT2005,AADT2006,AADT2007,AADT2008,AADT2009,AADT2010,AADT2011,AADT2012,AADT2013,AADT2014,AADT2015,AADT2016,AADT2017,AADT2018,AADT2019,AADT2020,AADT2021
0006_146.9,975,1000,965,1240,1340,1060,890,830,825,845,900,920,930,1015,1140,1170,1185,1220,1335,1345,1400,1450,1365,1340,1310,1330,1315,1215,1335,1315,1360,1345,1260,1300,1385,1453,1458,1443,1517,1647,1760
0006_149.9,1200,1225,1225,1505,1575,1435,1295,1205,1195,1230,1310,1490,1510,1655,1860,1605,1630,1675,1835,1855,1930,2000,1365,1345,1315,2025,2005,1855,1950,1925,1985,2405,2250,2330,2480,2602,2610,2320,2441,2651,2834
0006_150.6,1200,1225,1225,1505,1575,1435,1295,1205,1195,1230,1310,1490,1510,1655,1860,1605,1630,1675,1835,1855,1930,2000,1365,1345,1315,2025,2005,1855,1950,1925,1985,2405,2250,2330,2480,2602,2610,2320,2441,2651,2834
0006_152.6,1800,1840,1840,2120,2190,2050,1910,,1575,1730,1775,1815,1840,2015,2520,2170,2200,2240,2508,2535,3400,3520,1885,2645,2590,2625,2295,2185,2170,2160,2155,2115,2060,2085,2175,2288,2350,2374,2417,2158,2339
0006_152.9,1800,1840,1840,2120,2190,2050,1910,,1575,1730,1775,1815,1840,2015,2520,2170,2200,2240,2508,2535,3400,3520,1885,2645,3630,3680,3275,2995,2975,2965,2955,2895,2825,2855,2975,3135,3656,3693,3759,3357,3639
0006_155.8,1800,1840,1840,2120,2190,2050,1910,,1575,1730,1775,1815,1840,2015,2520,2170,2200,2240,2508,2535,3400,3520,1885,2645,3630,3680,3275,2995,2975,2965,2955,2895,2825,2855,2975,3135,3656,3693,3759,3357,3639
0006_155.9,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
0006_157.3,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
0006_157.6,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
0006_158.5,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
0006_159.6,2340,2375,2375,2650,2725,2625,2525,2345,2885,2965,2860,2925,2960,3245,5040,5180,5250,6720,7365,7440,4470,8010,6290,6185,6050,6130,6215,5910,5875,6005,5990,5870,5720,5785,6035,6353,6525,6590,6709,5991,6494
0006_159.8,2930,2975,2975,3255,3325,3225,3125,,6745,6850,6850,6510,6590,7220,12850,13200,13370,14850,16270,16430,12330,12755,6290,6185,11210,11360,11520,11445,11375,11330,11295,11070,10795,10915,11380,11985,12309,12432,12656,11302,12251
0006_160.3,2930,2975,2975,3255,3325,3225,3125,,6745,6850,6850,6510,6590,7220,12850,13200,13370,14850,16270,16430,12330,12755,12010,11810,11550,15445,15660,15565,15475,15410,15365,16540,16125,16300,17005,17904,18387,18571,18905,16882,18300
0006_173.4,7290,8020,5425,5590,6290,6770,7586,7840,8270,8645,8620,9305,9960,10875,11915,13005,13960,15840,17305,17132,18185,20100,20460,20605,22605,22605,24255,23675,24550,25065,23960,23960,25905,27560,29710,30810,32320,33322,34688,32919,35750
0006_173.7,7290,8020,5425,5590,6290,6770,7586,7840,8270,8645,8620,9305,9960,10875,11915,13005,13960,15840,17305,17132,18185,20100,20460,20605,22605,22605,24255,23675,24550,25065,23960,23960,25905,27560,29710,30810,32320,33322,34688,32919,35750
0006_174.0,4850,4850,3280,4600,4950,5300,6330,6540,6900,7215,7200,7560,8095,8825,9670,10150,10890,12305,17300,17127,17730,19595,19945,20085,20690,20690,22205,21665,22465,22935,21935,21940,23730,25245,27200,28201,29594,30523,31787,30166,32757
0006_174.4,4850,4850,3280,4600,4950,5300,6330,6540,6900,7215,7200,7560,8095,8825,9670,10150,10890,12305,17300,17127,17730,19595,19945,20085,20690,20690,22205,21665,22465,22935,21935,21940,23730,25245,27200,28201,29594,30523,31787,30166,32757
0006_174.9,4850,3595,3610,3675,3950,4150,4850,5070,5195,11325,11645,12010,12295,8825,7800,8190,8600,9760,10665,10585,10655,11775,11985,12070,12440,12440,14115,13780,14290,14590,13945,16925,18295,19465,20985,21759,22825,23533,24498,23249,25248
0006_175.6,4850,3595,3610,3675,3950,4150,4850,5070,5195,11325,11645,12010,12295,8825,7800,8190,8600,9760,10665,10585,10655,11775,11985,12070,12440,12440,14115,13780,14290,14590,13945,16925,18295,19465,20985,21759,22825,23533,24498,23249,25248
0006_176.1,4850,3595,3610,3675,3950,4150,4850,5070,5195,11325,11645,12010,12295,8825,7800,8190,8600,9760,10665,10585,10655,11775,11985,12070,12440,12440,14115,13780,14290,14590,13945,16925,18295,19465,20985,21759,22825,23533,24498,23249,25248
0006_177.0,4850,3595,3610,3675,3950,4150,4850,5070,5195,11325,11645,12010,12295,8825,7800,8190,8600,9760,10665,10585,10655,11775,11985,12070,12440,12440,14115,13780,14290,14590,13945,16925,18295,19465,20985,21759,22825,23533,24498,23249,25248
0006_177.2,5060,5345,1470,4375,4600,4850,5100,5330,5460,5725,5380,5225,5550,5825,5935,6000,6145,6612,7155,7100,8490,9385,9555,9625,9920,9920,11260,10990,11395,9515,9095,9095,9830,10460,11275,11694,12267,12647,13166,12495,26065
0006_177.5,5060,5345,1470,4375,4600,4850,5100,5330,5460,5725,5380,5225,5550,5825,5935,6000,6145,6612,7155,7100,8490,9385,9555,9625,9920,9920,11260,10990,11395,9515,9095,9095,9830,10460,11275,11694,12267,12647,13166,12495,26065
0006_177.9,5840,6170,,5095,5575,5875,6255,,6810,7180,6740,6955,7355,7875,8245,8285,8565,8740,9280,9100,9405,9435,9172,8915,8940,9100,9315,9660,8950,9350,9165,9180,9435,9815,10635,11352,11808,11807,12049,12037,12976
0013_000.0,,,11780,11910,12035,12075,12115,12170,13070,13325,13485,16335,17230,18085,17735,18620,19065,19065,20625,20465,14955,15965,15680,16315,16295,16540,18195,17505,17625,17645,15880,15830,16245,16960,17790,18572,19073,19321,19514,16977,18811
0013_000.6,,,11780,11910,12035,12075,12115,12170,13070,13325,13485,16335,17230,18085,17735,18620,19065,19065,20625,20465,14955,15965,15680,16315,16295,16540,18195,17505,17625,17645,15880,15830,16245,16960,17790,18572,19073,19321,19514,16977,18811
0013_001.3,,,9500,9600,9725,9760,8900,8940,9115,9290,13700,16335,17230,18085,17735,18620,19065,19065,20625,20465,14955,15965,15680,15475,13225,13425,13615,13095,12975,12985,12610,12570,12900,13465,14125,14748,15187,15384,15538,13518,14978
0013_001.6,,,8000,8090,8195,8220,8245,8280,8440,8605,13905,14600,15400,16165,15835,16470,18720,18945,20495,20335,14600,15585,14795,14600,14580,14800,15005,14435,14540,14555,14130,13460,13810,14420,15125,15793,16219,16430,16594,14437,15996
0013_001.8,,,8000,8090,8195,8220,8245,8280,8440,8605,13905,14600,15400,16165,15835,16470,18720,18945,20495,20335,14600,15585,14795,14600,14580,14800,15005,14435,14540,14555,14130,13460,13810,14420,15125,15793,16219,16430,16594,14437,15996
0013_002.5,,,8000,8090,8195,8220,8245,8280,8440,8605,13905,14600,15400,16165,15835,16470,18720,18945,20495,20335,14600,15585,14795,14600,14580,14800,15005,14435,14540,14555,14130,13460,13810,14420,15125,15793,16219,16430,16594,14437,15996
0013_002.9,,,4000,4080,4130,4145,4160,4180,4265,4350,4405,3890,4025,4500,4155,4200,4620,4675,5060,5025,6905,7370,7240,7145,7135,7245,7345,7065,7115,4425,4300,4285,4400,4590,4815,5029,5165,5232,5284,4597,5093
0013_003.3,,,4000,4080,4130,4145,4160,4180,4265,4350,4405,3890,4025,4500,4155,4200,4620,4675,5060,5025,6905,7370,7240,7145,7135,7245,7345,7065,7115,4425,4300,4285,4400,4590,4815,5029,5165,5232,5284,4597,5093
0013_004.9,,,3875,3950,4000,4015,4030,,4090,3885,6595,3415,3525,4310,3985,4045,4145,4195,4750,4715,4750,5070,4980,4915,5150,5230,5305,5100,5135,5140,4995,4980,5105,5330,5595,5839,8470,8580,8666,7539,8353
0013_005.6,3735,3735,3775,3850,3900,3910,3920,3930,3980,3700,7085,7085,7525,7520,7200,7200,7485,7690,7965,8363,8445,5585,5485,5735,5920,6775,6815,6640,6760,6885,6590,7820,8085,8215,8700,9124,9361,9735,9852,9842,10551
0015_241.6,7215,7300,9300,8580,8050,7815,8200,10220,10235,10835,11645,11920,12420,13830,14645,15225,16135,17015,17627,18684,22584,24322,24540,24588,25505,26400,27380,25475,21570,22025,21825,21365,22005,19345,23000,25253,26263,27760,28510,27142,33222
0015_242.4,7170,7250,9250,8750,8225,7985,8400,9110,10430,10920,11845,12125,12630,13940,14765,15340,16255,17145,17762,18650,22548,24871,25408,25560,25810,26715,27700,25770,23805,23430,23220,24010,24185,21260,25275,27754,28864,30509,31333,29829,36521
0015_244.8,8115,8225,10225,10820,10290,9580,10060,,12000,13525,13685,14445,15500,16635,18175,19050,20970,22430,23670,24875,25935,27535,27515,28770,29675,31025,32205,30730,31675,31320,30480,31125,31960,33710,36600,39133,41046,42748,44054,42776,49869
0015_246.9,8115,8225,10225,10820,10290,9580,10060,,12000,13525,13685,14445,15500,16635,18175,19050,20970,22430,23670,24875,25935,27535,27515,28770,29675,31025,32205,30730,31675,31320,30480,31125,31960,33710,36600,39133,41046,42748,44054,42776,49869
0015_248.8,8115,8225,10225,11570,11030,10465,11000,12205,13050,14290,14465,15260,16375,17575,19205,20135,22165,23715,25019,26270,27790,29485,32344,33815,34575,36150,35355,33730,34775,33940,35250,34175,35100,37030,40215,42988,45094,46943,48398,46994,56057
0015_250.9,9930,10100,12100,16760,16220,15180,16170,17940,19690,20970,21180,22355,23985,25745,28130,29490,32460,34700,36608,38438,39700,42155,43708,45695,45375,47445,47065,44900,46290,44480,43275,44185,45380,47875,51990,55579,58302,60692,62573,60758,71330
0015_251.6,9930,10100,12100,16760,16220,15180,16170,17940,19690,20970,21180,22355,23985,25745,28130,29490,32460,34700,36608,38438,39700,42155,43708,45695,45375,47445,47065,44900,46290,44480,43275,44185,45380,47875,51990,55579,58302,60692,62573,60758,71330
0015_252.5,9930,10100,12100,16760,16220,15180,16170,17940,19690,20970,21180,22355,23985,25745,28130,29490,32460,34700,36608,38438,39700,42155,43708,45695,45375,47445,47065,44900,46290,44480,43275,44185,45380,47875,51990,55579,58302,60692,62573,60758,71330
0015_253.6,9025,10400,12400,17800,17260,16085,17210,19090,20785,20640,20885,22045,23655,25390,27725,29065,31995,34200,36081,37885,39380,41815,43754,45745,45545,47620,48055,45845,45010,43930,43400,44310,45505,48010,52135,55734,58465,60862,62749,60929,71517
0015_255.9,9025,10400,12400,17800,17260,16085,17210,19090,20785,20640,20885,22045,23655,25390,27725,29065,31995,34200,36081,37885,39380,41815,43754,45745,45545,47620,48055,45845,45010,43930,43400,44310,45505,48010,52135,55734,58465,60862,62749,60929,71517
0015_257.3,9025,10400,12400,17800,17260,16085,17210,19090,20785,20640,20885,22045,23655,25390,27725,29065,31995,34200,36081,37885,39380,41815,43754,45745,45545,47620,48055,45845,45010,43930,43400,44310,45505,48010,52135,55734,58465,60862,62749,60929,71517
0015_257.6,17760,18650,20450,29550,29590,27790,29460,31225,33140,37130,37570,39250,42115,45205,49360,51740,56950,60925,64275,67488,70365,75477,75615,74640,75660,78410,80260,78435,78175,80195,76680,76000,79435,82350,87550,95109,104132,106440,109371,101934,115426
0015_258.8,17760,18650,20450,29550,29590,27790,29460,31225,33140,37130,37570,39250,42115,45205,49360,51740,56950,60925,64275,67488,70365,75477,75615,74640,75660,78410,80260,78435,78175,80195,76680,76000,79435,82350,87550,95109,104132,106440,109371,101934,115426
0015_260.0,21930,23030,24830,33610,33650,30905,29460,31225,37560,42230,42730,45100,48390,51940,56665,59400,65340,69900,73744,77431,78522,84577,86706,87694,88895,92125,93560,91430,91155,93525,89410,88605,92595,96020,102070,110847,121377,124047,127520,118849,135162
0015_261.8,24225,25525,27340,37100,37140,30905,35965,39895,42285,47550,48115,50785,54490,58485,63900,66985,73730,78875,83213,87373,85717,93977,95251,94025,98075,101640,96030,93845,99685,102280,97780,96900,101260,105005,111620,121220,132736,135656,139454,129971,144110
0015_263.4,17075,18270,20085,29320,29910,26620,27235,30210,34605,39000,39465,42030,45095,48405,52860,55410,60990,65250,68838,70558,69217,81977,82090,81035,85425,88270,90340,88285,88020,90310,86335,85560,98840,102495,108955,118323,129564,132414,136122,126866,133164
0015_264.2,17075,18270,20085,29320,29910,26620,27235,30210,34605,39000,39465,42030,45095,48405,52860,55410,60990,65250,68838,70558,69217,81977,82090,81035,85425,88270,90340,88285,88020,90310,86335,85560,98840,102495,108955,118323,129564,132414,136122,126866,133164
0015_265.6,30490,32180,33995,36870,37680,34160,37845,41980,45120,49170,51575,55495,59180,64745,71005,75340,78720,81185,89854,89565,87888,95897,97395,98390,99830,102145,104910,98980,102660,110110,104600,96855,111140,116075,125315,143239,146233,148648,156715,139790,172575
0015_266.5,30490,32180,33995,36870,37680,34160,37845,41980,45120,49170,51575,55495,59180,64745,71005,75340,78720,81185,89854,89565,87888,95897,97395,98390,99830,102145,104910,98980,102660,110110,104600,96855,111140,116075,125315,143239,146233,148648,156715,139790,172575
0015_267.9,30490,32180,33995,36870,37680,34160,37845,41980,45120,49170,51575,55495,59180,64745,71005,75340,78720,81185,89854,89565,87888,95897,97395,98390,99830,102145,104910,98980,102660,110110,104600,96855,111140,116075,125315,143239,146233,148648,156715,139790,172575
0015_269.0,30490,32180,33995,36870,37680,34160,37845,41980,45120,49170,51575,55495,59180,64745,71005,75340,78720,81185,89854,89565,87888,95897,97395,98390,99830,102145,104910,98980,102660,110110,104600,96855,111140,116075,125315,143239,146233,148648,156715,139790,172575
0015_269.6,37975,39115,40930,45390,46200,41890,45950,47190,53945,55655,58380,62815,66985,73290,80380,85260,89105,91867,101604,102293,109044,115597,117400,118605,120340,123135,126460,119250,123610,132630,126000,125495,144070,150410,162440,185670,189569,192792,203203,181257,176764
0015_270.6,37975,39115,40930,44560,45370,41140,44770,,54740,56180,58930,63410,67620,73985,81140,86095,89977,92766,102600,104794,110033,117597,119430,124978,126805,129750,133255,125660,130305,139820,132800,132270,122460,127850,138075,157822,161136,163875,172724,154070,148061
0015_271.6,37975,39115,40930,43340,44150,40730,44315,,55710,56875,59660,64195,68460,74905,82150,87165,91075,93930,103886,107349,112716,120997,122885,126750,133875,136980,140680,132660,137570,147610,140225,139665,160335,167390,180780,206632,210971,214558,226144,201720,191254
0015_272.7,37530,38650,40400,41540,42350,39725,43220,44385,55930,54090,56735,61050,65105,71235,78125,82895,86615,88693,98094,101280,106344,113297,115065,122964,132190,135860,139530,131575,136680,146660,139325,138770,159305,166315,179620,205306,209617,213180,224692,200425,197362
0015_274.7,37530,38650,40400,41540,42350,39725,43220,44385,55930,54090,56735,61050,65105,71235,78125,82895,86615,88693,98094,101280,106344,113297,115065,122964,132190,135860,139530,131575,136680,146660,139325,138770,159305,166315,179620,205306,209617,213180,224692,200425,197362
0015_275.3,37530,38650,40400,41540,42350,39725,43220,44385,55930,54090,56735,61050,65105,71235,78125,82895,86615,88693,98094,101280,106344,113297,115065,120159,129325,132325,130980,123515,128085,137435,130550,130030,139925,146085,157770,180331,184118,187248,197359,176044,195761
0015_276.4,35150,36200,37890,35450,36260,35380,39200,40260,50160,45200,47410,51015,54405,58320,65160,69140,71744,73250,83014,86949,93904,102465,104065,108564,121405,124025,127375,120115,124560,133650,126975,126465,145185,151570,163700,187107,191036,194284,204775,182659,203136
0015_278.5,36950,37700,39325,38230,39040,39010,42440,43585,51910,52590,54505,58650,62545,68430,75050,79635,82315,83550,89000,93183,100637,109810,111525,104753,117405,120130,122445,115465,119735,128475,122050,121560,139555,145695,157350,179849,183626,186748,196832,175574,170000
0015_279.6,31750,32350,33945,32780,33590,34110,37180,38185,44910,48190,49945,53745,57315,62710,68775,72975,75529,76284,82080,85937,94530,103145,104755,105000,105490,107940,110855,106080,110005,118035,119570,119090,118455,123670,133565,152663,155869,158519,167079,149034,173921
0015_282.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000
0015_283.3,31900,32500,34080,35750,36560,38020,41520,38425,47880,51390,53905,58005,61860,67680,74225,78760,81516,82330,89492,93294,102623,108806,110505,111635,112745,115360,115825,109220,113260,121530,123110,122620,140765,146960,158715,181412,185222,188371,198543,177100,190000
0015_283.9,37070,37580,39145,37460,38305,40510,46700,47960,50730,53390,56000,60260,64265,69700,75580,79360,82375,82786,89988,98356,110158,117828,119665,121824,123605,126475,128490,121165,125650,134820,136575,136030,156160,163030,176075,201254,180266,181234,183972,164103,198473
0015_285.1,37070,37580,39145,37460,38305,40510,46700,47960,50730,53390,56000,60260,64265,69700,75580,79360,82375,82786,89988,98356,110158,117828,119665,121824,123605,126475,128490,121165,125650,134820,136575,136030,156160,163030,176075,201254,180266,181234,183972,164103,198473
0015_285.8,37070,37580,39145,37460,38305,40510,46700,47960,50730,53390,56000,60260,64265,69700,75580,79360,82375,82786,89988,98356,110158,117828,119665,121824,123605,126475,128490,121165,125650,134820,136575,136030,156160,163030,176075,201254,180266,181234,183972,164103,198473
0015_286.8,37070,37580,39145,37460,38305,40510,46700,47960,50730,53390,56000,60260,64265,69700,75580,79360,82375,82786,89988,98356,110158,117828,119665,121824,123605,126475,128490,121165,125650,134820,136575,136030,156160,163030,176075,201254,180266,181234,183972,164103,198473
0015_288.2,35890,36385,37950,38900,39785,42560,46555,47810,50570,53485,56140,60180,64540,69975,75855,79485,82455,82191,89350,97055,111930,121964,122600,126781,129435,133220,134595,129345,130250,132595,140995,143110,147495,151920,153590,161576,164969,169423,172642,148472,177869
0015_289.8,35890,36385,37950,38900,39785,42560,46555,47810,50570,53485,56140,60180,64540,69975,75855,79485,82455,81595,88757,97055,111930,121964,122600,126781,129435,133220,135220,129945,130855,133210,163780,167150,169715,176645,178585,189041,203109,210772,213024,183201,223653
0015_291.4,43600,44165,45730,45470,45760,48510,52440,53720,59460,62275,65370,70075,75155,81485,88335,92560,94225,91400,96884,105945,115799,122215,134694,135780,138625,142680,144820,139170,140145,142670,150000,152250,154990,159640,161395,169790,173356,178037,181420,156021,180204
0015_292.6,43600,44165,45730,45470,45760,48510,52440,53720,59460,62275,65370,70075,75155,81485,88335,92560,94225,91400,96884,105945,115799,122215,134694,135780,138625,142680,144820,139170,140145,142670,155000,157325,160155,164960,166775,175449,179133,183970,187465,161220,186209
0015_293.0,43600,44165,45730,45470,53610,58390,62315,63835,76250,78730,83850,92345,99035,107375,116400,121870,109685,99813,103804,113510,133203,140529,144323,145485,148525,152870,155165,149110,150155,152860,160000,162400,165325,170285,172155,181108,184911,189904,193512,166420,192215
0015_293.6,43600,44165,45730,45470,53610,58390,62315,63835,76250,78730,83850,92345,99035,107375,116400,121870,109685,99813,103804,113510,133203,140529,144323,145485,148525,152870,155165,149110,150155,152860,160000,162400,165325,170285,172155,181108,184911,189904,193512,166420,192215
0015_295.6,66900,67775,70850,73880,78610,79790,85375,87460,101880,104090,110965,118955,127575,138320,149945,157115,133547,113541,117626,128625,171726,181170,186066,187565,191495,197095,200050,192250,193595,197080,199640,202635,206285,230000,238075,259218,261473,263374,263955,227001,196637
0015_297.9,80900,81960,85790,102720,97185,92410,103500,106025,123525,125430,133845,143480,153875,163950,177720,183765,147000,114660,68420,74820,200855,211902,216140,217880,222440,228945,232380,223315,224880,228925,231905,235380,239620,246810,249525,262498,268010,269886,275014,236512,204819
0015_299.0,75610,76600,81185,88020,94675,94030,106680,109285,105070,102945,110690,116670,120800,126865,129985,132870,105056,71765,67370,73670,150074,158230,160512,163433,166355,171220,173790,167010,168180,171205,173430,176035,179205,184580,186610,196313,200436,201839,205674,176880,188731
0015_300.3,87500,88650,93415,98865,105520,105900,114370,116680,120375,117940,121100,127645,132165,138800,142215,145375,115137,71718,67053,73323,158894,167474,186862,188730,192680,198315,201290,193440,194795,198300,200880,203890,207560,213790,216140,227379,232154,233779,238221,204870,218596
0015_301.7,100690,102700,107555,101705,108360,108750,117450,119825,128185,125595,129450,136445,141280,148370,152020,155395,123072,71884,66051,72230,169846,179017,191359,192900,196940,202700,205740,197715,199100,202685,205320,208400,212150,218515,220920,232408,237289,238950,243490,209401,223431
0015_302.5,100690,102700,107555,101705,108360,108750,117450,119825,128185,125595,129450,136445,141280,148370,152020,155395,123072,71884,66051,72230,169846,179017,191359,192900,196940,202700,205740,197715,199100,202685,205320,208400,212150,218515,220920,232408,237289,238950,243490,209401,223431
0015_303.4,103515,105800,110700,116925,123580,124820,127440,130015,125920,132060,141030,148650,153915,161640,165615,169295,134081,72050,65919,72085,185039,194661,198554,200155,204345,210320,213475,205150,206585,210305,213040,216235,230000,236900,220000,229160,232582,228893,224050,192683,205556
0015_304.7,103515,105800,110700,116925,123580,124820,127440,130015,125920,132060,141030,148650,153915,161640,165615,169295,134081,72050,65919,72085,185039,194661,198554,200155,204345,210320,213475,205150,206585,210305,213040,216235,230000,236900,220000,229160,232582,228893,224050,192683,205556
0015_305.2,125160,128515,133460,137825,149325,151420,154600,157725,136305,138545,155120,160870,167290,176315,179050,182000,138693,74515,66290,72490,200200,210610,214822,216555,221090,227555,230970,221960,223515,227535,230495,233950,238165,245310,255610,268903,274550,281963,287320,247095,275758
0015_305.9,107760,110560,115505,114315,126850,128625,131325,133950,118865,120820,134790,139790,145370,153215,155595,158160,125870,60915,66290,66610,132789,186944,190038,192269,196295,202035,205065,197070,198450,202020,204645,207715,211455,217800,226945,238748,243762,250344,255101,219387,244836
0015_306.3,107760,110560,115505,114315,126850,128625,131325,133950,118865,120820,134790,139790,145370,153215,155595,158160,125870,60915,66290,66610,132789,186944,190038,192269,196295,202035,205065,197070,198450,202020,204645,207715,211455,217800,226945,238748,243762,250344,255101,219387,244836
0015_307.2,107760,110560,115505,114315,126850,128625,131325,133950,118865,120820,134790,139790,145370,153215,155595,158160,125870,60915,66290,66610,132789,186944,190038,192269,196295,202035,205065,197070,198450,202020,204645,207715,211455,217800,226945,238748,243762,250344,255101,219387,244836
0015_307.5,107760,110560,115505,114315,126850,128625,131325,133950,118865,120820,134790,139790,145370,153215,155595,158160,125870,60915,66290,66610,132789,186944,190038,192269,196295,202035,205065,197070,198450,202020,204645,207715,211455,217800,226945,238748,243762,250344,255101,219387,244836
0015_307.6,69895,71300,73875,74665,89860,92505,95150,98955,81545,81875,98190,105205,108710,115615,118255,120718,103283,60915,66290,66610,132789,149694,151190,122410,124975,128630,130560,125465,126345,128620,130290,132245,134625,138665,144490,154190,157428,161679,164751,141686,158122
0015_307.8,69895,71300,73875,74665,89860,92505,95150,98955,81545,81875,98190,105205,108710,115615,118255,120718,103283,60915,66290,66610,132789,149694,151190,122410,124975,128630,130560,125465,126345,128620,130290,132245,134625,138665,144490,154190,157428,161679,164751,141686,158122
0015_308.4,58360,59535,61685,50920,72675,75275,77875,80990,66495,78645,81310,83495,86785,92852,96070,100413,83099,60915,44190,47725,111959,117669,118671,119727,122590,126175,128070,123075,123935,126165,127805,129725,132060,136020,141735,151249,154425,158594,161607,138982,155104
0015_309.3,45375,46285,47955,45840,56810,58705,60600,63025,53190,64950,65650,68085,70805,74625,75785,77035,68075,57850,53333,58320,84738,89059,92951,93700,95665,98465,99940,96045,96715,98455,108230,109855,111830,115185,120025,128084,130774,134305,136857,117697,131350
0015_310.2,52785,53840,55780,57040,68010,69905,72900,75815,55840,67675,68750,71300,74145,78145,79360,80670,71765,61074,58476,63945,88737,93262,100327,101135,103255,106275,107870,103660,104390,106265,107650,109265,111230,114570,119380,127395,130070,133582,136120,117063,130642
0015_311.4,52785,53840,55780,57040,68010,69905,72900,75815,55840,67675,68750,71300,74145,78145,79360,80670,71765,61074,58476,63945,88737,93262,100327,101135,103255,106275,107870,103660,104390,106265,107650,109265,111230,114570,119380,127395,130070,133582,136120,117063,130642
0015_311.8,76735,77500,79440,77845,86695,88430,92850,96565,83245,92260,96095,99660,103640,109230,110930,112760,102495,93577,91237,99770,115748,121651,124084,125085,127705,131440,133410,128210,129105,131430,133140,135135,137570,141695,147645,157561,160870,165213,168352,144783,161578
0015_313.7,68815,69150,71090,67140,76500,78940,82890,89285,83180,95080,101600,107530,111820,117855,119685,121655,124926,139935,147527,160804,170800,179510,143076,145901,151090,155890,158560,146050,135410,138890,143350,145345,145285,148610,153355,171035,174979,176375,175520,146910,164351
0015_315.3,59620,59900,61580,57200,66210,68190,72280,77855,74800,84030,89070,94235,97995,103285,104890,106620,109178,120095,126099,137890,147278,154790,134672,137230,142030,146545,149035,137260,127240,132560,136805,138720,138720,141910,146450,163293,167049,168385,167543,140233,156921
0015_316.9,51015,51015,52695,49975,65555,62190,63950,68885,68575,77865,82150,85200,88600,95000,96475,98065,100418,109455,112738,123280,131909,149031,130875,133361,136695,143285,145720,134210,124835,132220,131860,133705,139590,142805,147375,164321,168100,169445,168598,141117,157910
0015_317.6,41560,41150,42760,41075,51655,52790,56080,60405,63120,66560,70090,72690,75590,82000,83275,84650,86596,93090,98187,104034,111316,133993,115688,120363,123975,127915,130090,119815,111065,113955,115860,117480,117480,120185,124030,138293,141474,142606,141893,118764,132897
0015_318.3,46145,45270,46880,49025,59605,60795,66875,72035,73290,76335,80305,83285,86610,97150,98655,100280,102285,108422,108450,113890,121862,150289,132148,134658,137980,142365,144785,133345,123615,126825,129145,130950,130950,133965,138250,154150,157695,158957,158162,132382,148135
0015_319.5,46075,45200,46810,44245,57265,55795,63510,68410,71410,74800,78635,84525,88695,96290,101835,103300,105400,112705,112870,115125,124465,130136,130925,132885,135270,139630,142640,129555,121095,122775,127835,131660,132930,136730,145305,158903,160947,163121,166664,137164,137000
0015_321.0,46075,45200,46810,44245,57265,55795,63510,68410,71410,74800,78635,84525,88695,96290,101835,103300,105400,112705,112870,115125,124465,130136,130925,132885,135270,139630,142640,129555,121095,122775,127835,131660,132930,136730,145305,158903,160947,163121,166664,137164,137000
0015_322.0,46075,45200,46810,44245,57265,55795,63510,68410,71410,74800,78635,84525,88695,96290,101835,103300,105400,112705,112870,115125,124465,130136,130925,132885,135270,139630,142640,129555,121095,122775,127835,131660,132930,136730,145305,158903,160947,163121,166664,137164,137000
0015_323.8,44140,43300,44910,40685,52865,51540,58240,59795,64375,67435,70895,76205,79970,87565,92610,93945,95855,102500,102650,104700,115113,120360,121090,122905,125115,129150,131990,119850,112845,114425,118455,122010,123230,126805,134795,147465,144445,146467,149689,123194,141550
0015_324.4,,,34085,27280,38380,37060,40765,41855,46220,48385,50870,54680,57380,63440,67095,68060,69445,74260,74360,75845,77880,81430,92949,94345,96040,99635,100995,91700,98510,92470,109070,112340,113465,116755,124110,122381,123972,125708,128474,105734,124660
